sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-AZ-4616-01	TCGA-AZ-4616-01	10.09	12.67	10.34	12.16	11.21	10.96	11.62	Primary Tumor
TCGA-3L-AA1B-01	TCGA-3L-AA1B-01	10.07	12.35	10.95	11.51	11.65	10.78	11.39	Primary Tumor
TCGA-AU-3779-01	TCGA-AU-3779-01	10.07	11.9	9.931	12.06	11.85	11.12	11.94	Primary Tumor
TCGA-A6-5667-01	TCGA-A6-5667-01	10.06	12.74	11.24	11.68	12.53	11.34	11.93	Primary Tumor
TCGA-DM-A0XD-01	TCGA-DM-A0XD-01	10.06	12.62	10.15	11.54	11.3	10.55	11.94	Primary Tumor
TCGA-4T-AA8H-01	TCGA-4T-AA8H-01	10.06	12.5	10.9	11.57	10.7	11.35	11.46	Primary Tumor
TCGA-A6-5656-01	TCGA-A6-5656-01	10.05	13.4	10.95	11.33	12.16	10.83	11.83	Primary Tumor
TCGA-AD-6895-01	TCGA-AD-6895-01	10.04	12.76	10.65	11.81	10.95	11.98	11.6	Primary Tumor
TCGA-QG-A5YW-01	TCGA-QG-A5YW-01	10.04	12.42	10.39	12.23	11.14	11.2	11.84	Primary Tumor
TCGA-NH-A6GA-01	TCGA-NH-A6GA-01	10.03	12.7	11.48	10.74	11.24	11.45	11.01	Primary Tumor
TCGA-AY-A71X-01	TCGA-AY-A71X-01	10.02	12.4	10.45	11.12	11.48	11.1	11.74	Primary Tumor
TCGA-CM-6172-01	TCGA-CM-6172-01	10.02	11.61	11.83	11.38	11.3	11.86	12.03	Primary Tumor
TCGA-AY-A54L-01	TCGA-AY-A54L-01	10.01	12.03	11.16	11.25	11.26	11.39	12.12	Primary Tumor
TCGA-AZ-4615-01	TCGA-AZ-4615-01	10.01	11.82	10.91	11.64	11.21	10.66	11.44	Primary Tumor
TCGA-AD-A5EK-01	TCGA-AD-A5EK-01	10.01	11.48	10.99	11.33	11.19	10.64	11.55	Primary Tumor
TCGA-G4-6323-01	TCGA-G4-6323-01	9.992	12.19	10.81	11.47	11.65	11.28	12.14	Primary Tumor
TCGA-D5-5541-01	TCGA-D5-5541-01	9.985	12.3	11.15	11.92	12.16	11.2	11.73	Primary Tumor
TCGA-A6-2682-01	TCGA-A6-2682-01	9.966	11.89	11.04	11.43	11.41	10.91	12.22	Primary Tumor
TCGA-DM-A28K-01	TCGA-DM-A28K-01	9.962	12.48	10.13	11.22	11.35	11.86	11.67	Primary Tumor
TCGA-CK-4947-01	TCGA-CK-4947-01	9.957	12.19	11.2	11.55	10.84	11.42	12.13	Primary Tumor
TCGA-D5-6539-01	TCGA-D5-6539-01	9.956	12.52	11.59	11.48	11.39	12.07	12.13	Primary Tumor
TCGA-D5-6920-01	TCGA-D5-6920-01	9.953	12.58	10.99	11.57	11.84	11.06	11.95	Primary Tumor
TCGA-CM-5868-01	TCGA-CM-5868-01	9.953	12.26	10.67	11.39	11.84	11	11.86	Primary Tumor
TCGA-AD-6965-01	TCGA-AD-6965-01	9.948	12.36	10.82	11.57	11.6	11.54	11.51	Primary Tumor
TCGA-DM-A1D7-01	TCGA-DM-A1D7-01	9.948	11.73	11.2	11.4	10.85	11.14	11.9	Primary Tumor
TCGA-AD-6889-01	TCGA-AD-6889-01	9.929	12.53	10.51	11.61	10.64	11.33	11.81	Primary Tumor
TCGA-AA-3506-01	TCGA-AA-3506-01	9.925	12.06	9.602	12.05	11.64	10.3	11.72	Primary Tumor
